Flow,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
EAST BOUND,114.0,70.0,51.0,47.0,59.0,127.0,293.0,440.0,1.0,0.0,0.0,595.0,594.0,625.0,706.0,751.0,765.0,610.0,418.0,313.0,269.0,226.0,174.0
SOUTH EAST BOUND,133.0,81.0,58.0,52.0,64.0,130.0,302.0,474.0,1.0,0.0,0.0,630.0,630.0,666.0,757.0,804.0,820.0,664.0,455.0,339.0,292.0,250.0,200.0
SOUTH BOUND,91.0,55.0,40.0,37.0,49.0,114.0,275.0,410.0,1.0,0.0,0.0,520.0,508.0,522.0,575.0,602.0,610.0,491.0,352.0,266.0,227.0,186.0,139.0
NORTH BOUND,92.0,58.0,42.0,38.0,52.0,120.0,276.0,407.0,1.0,0.0,0.0,507.0,502.0,522.0,582.0,616.0,623.0,495.0,350.0,268.0,230.0,187.0,141.0
SOUTH WEST BOUND,78.0,48.0,37.0,38.0,56.0,125.0,286.0,406.0,1.0,0.0,0.0,511.0,501.0,524.0,582.0,612.0,602.0,458.0,316.0,236.0,197.0,160.0,121.0
NORTH EAST BOUND,75.0,48.0,37.0,41.0,69.0,157.0,314.0,407.0,1.0,0.0,0.0,501.0,502.0,528.0,584.0,610.0,601.0,465.0,323.0,247.0,205.0,162.0,116.0
NORTH WEST BOUND,102.0,64.0,48.0,47.0,73.0,189.0,449.0,620.0,1.0,0.0,0.0,637.0,625.0,638.0,694.0,733.0,763.0,605.0,421.0,314.0,268.0,216.0,159.0
WEST BOUND,98.0,62.0,47.0,44.0,63.0,153.0,384.0,561.0,1.0,0.0,0.0,594.0,583.0,597.0,650.0,681.0,693.0,546.0,388.0,293.0,250.0,205.0,153.0
