Link_ID,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
7581,1018.0,621.0,449.0,425.0,605.0,1564.0,3560.0,4578.0,1.0,0.0,0.0,4707.0,4697.0,4915.0,5472.0,5800.0,6218.0,5248.0,3557.0,2617.0,2308.0,1981.0,1595.0
7682,1036.0,633.0,462.0,433.0,599.0,1461.0,3500.0,4665.0,1.0,0.0,0.0,4785.0,4756.0,4929.0,5425.0,5688.0,6112.0,5243.0,3549.0,2588.0,2278.0,1987.0,1613.0
7994,1022.0,625.0,452.0,430.0,618.0,1610.0,3659.0,4676.0,1.0,0.0,0.0,4782.0,4767.0,4980.0,5535.0,5869.0,6298.0,5312.0,3600.0,2647.0,2333.0,1999.0,1603.0
8726,1156.0,714.0,517.0,485.0,681.0,1710.0,3953.0,5117.0,1.0,0.0,0.0,5243.0,5225.0,5427.0,6055.0,6422.0,6878.0,5848.0,3985.0,2926.0,2585.0,2224.0,1799.0
310,889.0,540.0,388.0,380.0,582.0,1640.0,3393.0,4207.0,1.0,0.0,0.0,4293.0,4285.0,4548.0,5095.0,5375.0,5733.0,4740.0,3206.0,2394.0,2122.0,1790.0,1408.0
343,533.0,322.0,232.0,228.0,355.0,1030.0,2094.0,2578.0,1.0,0.0,0.0,2623.0,2612.0,2749.0,3057.0,3224.0,3441.0,2893.0,1967.0,1470.0,1305.0,1088.0,847.0
365,554.0,340.0,247.0,237.0,348.0,923.0,2091.0,2636.0,1.0,0.0,0.0,2662.0,2646.0,2753.0,3048.0,3234.0,3479.0,2931.0,1985.0,1458.0,1284.0,1094.0,871.0
420,479.0,293.0,212.0,201.0,289.0,754.0,1713.0,2191.0,1.0,0.0,0.0,2240.0,2234.0,2333.0,2593.0,2750.0,2951.0,2489.0,1687.0,1240.0,1093.0,937.0,752.0
841,9.0,7.0,4.0,5.0,5.0,14.0,40.0,78.0,1.0,0.0,0.0,143.0,141.0,143.0,170.0,175.0,179.0,134.0,94.0,65.0,48.0,33.0,20.0
891,3.0,2.0,2.0,2.0,3.0,5.0,9.0,16.0,1.0,0.0,0.0,56.0,56.0,58.0,59.0,57.0,49.0,40.0,29.0,23.0,17.0,11.0,7.0
956,107.0,56.0,38.0,39.0,62.0,161.0,383.0,506.0,1.0,0.0,0.0,538.0,537.0,577.0,658.0,730.0,763.0,617.0,435.0,332.0,281.0,221.0,164.0
958,92.0,51.0,36.0,39.0,65.0,192.0,397.0,508.0,1.0,0.0,0.0,550.0,541.0,577.0,659.0,758.0,753.0,562.0,368.0,281.0,239.0,189.0,142.0
1032,212.0,112.0,74.0,74.0,110.0,275.0,685.0,886.0,1.0,0.0,0.0,993.0,987.0,1052.0,1196.0,1291.0,1347.0,1141.0,835.0,642.0,542.0,428.0,322.0
1053,101.0,62.0,43.0,42.0,59.0,182.0,472.0,713.0,1.0,0.0,0.0,845.0,852.0,897.0,1008.0,1012.0,1018.0,694.0,446.0,330.0,280.0,231.0,179.0
1166,166.0,98.0,63.0,54.0,70.0,162.0,470.0,853.0,1.0,0.0,0.0,899.0,869.0,896.0,1036.0,1114.0,1204.0,993.0,672.0,488.0,410.0,348.0,265.0
1222,180.0,106.0,69.0,60.0,82.0,207.0,587.0,982.0,1.0,0.0,0.0,986.0,957.0,999.0,1159.0,1265.0,1370.0,1101.0,716.0,526.0,447.0,378.0,285.0
1277,206.0,122.0,79.0,68.0,92.0,232.0,657.0,1104.0,1.0,0.0,0.0,1121.0,1089.0,1139.0,1325.0,1448.0,1567.0,1258.0,817.0,601.0,511.0,432.0,326.0
1283,171.0,101.0,65.0,57.0,81.0,208.0,615.0,1026.0,1.0,0.0,0.0,1022.0,1000.0,1048.0,1217.0,1338.0,1427.0,1113.0,688.0,509.0,439.0,368.0,271.0
1305,194.0,113.0,74.0,64.0,89.0,228.0,663.0,1125.0,1.0,0.0,0.0,1088.0,1061.0,1111.0,1282.0,1400.0,1513.0,1194.0,773.0,577.0,493.0,413.0,311.0
